ts,x,y,event,x_fix,y_fix,duration,doc,participant,condition
86,497,205,Fixation,498.351,203.541,74,D1,01,1
92,975,170,Fixation,980.4,172.8,5,D1,01,1
109,1123,167,Fixation,1112.06,176.375,16,D1,01,1
126,1290,242,Fixation,1290.0,242.0,8,D1,01,1
133,282,227,Fixation,288.66700000000003,230.333,6,D1,01,1
139,220,239,Fixation,220.0,239.0,5,D1,01,1
151,331,246,Fixation,331.545,242.364,11,D1,01,1
162,463,244,Fixation,459.333,246.833,6,D1,01,1
172,563,236,Fixation,562.0,241.111,9,D1,01,1
180,648,240,Fixation,647.429,242.28599999999997,7,D1,01,1
190,684,253,Fixation,684.0,253.0,5,D1,01,1
216,265,365,Fixation,265.0,365.0,25,D1,01,1
224,469,367,Fixation,463.42900000000003,372.14300000000003,7,D1,01,1
233,540,349,Fixation,538.375,357.75,8,D1,01,1
240,598,389,Fixation,594.0,363.0,6,D1,01,1
249,748,398,Fixation,718.25,380.125,8,D1,01,1
264,882,385,Fixation,887.0,422.167,6,D1,01,1
278,1122,358,Fixation,1098.11,361.778,9,D1,01,1
292,1288,340,Fixation,1263.08,347.385,13,D1,01,1
314,244,425,Fixation,258.529,424.647,17,D1,01,1
331,408,421,Fixation,400.56300000000005,432.43800000000005,16,D1,01,1
338,509,433,Fixation,495.667,427.833,6,D1,01,1
352,594,419,Fixation,583.462,426.846,13,D1,01,1
361,744,424,Fixation,748.625,429.25,8,D1,01,1
376,845,418,Fixation,829.2139999999999,418.5,14,D1,01,1
389,998,410,Fixation,989.8330000000001,417.5,12,D1,01,1
396,1183,412,Fixation,1180.33,420.667,6,D1,01,1
404,1269,419,Fixation,1266.0,415.42900000000003,7,D1,01,1
423,268,485,Fixation,250.5,482.2,10,D1,01,1
431,194,487,Fixation,192.571,484.714,7,D1,01,1
438,315,501,Fixation,311.16700000000003,497.667,6,D1,01,1
446,373,488,Fixation,371.57099999999997,489.0,7,D1,01,1
453,419,472,Fixation,425.167,484.833,6,D1,01,1
461,534,474,Fixation,533.143,480.714,7,D1,01,1
473,636,479,Fixation,636.273,482.455,11,D1,01,1
478,726,486,Fixation,727.75,485.75,4,D1,01,1
488,820,481,Fixation,821.444,493.333,9,D1,01,1
494,913,490,Fixation,879.2,484.2,5,D1,01,1
502,955,484,Fixation,954.7139999999999,492.286,7,D1,01,1
514,1153,495,Fixation,1151.29,490.286,7,D1,01,1
523,1293,482,Fixation,1287.13,486.25,8,D1,01,1
550,224,542,Fixation,231.136,540.0,22,D1,01,1
557,285,544,Fixation,284.83299999999997,544.1669999999999,6,D1,01,1
567,345,539,Fixation,348.0,553.3330000000001,9,D1,01,1
575,418,565,Fixation,415.57099999999997,556.286,7,D1,01,1
580,449,646,Fixation,445.0,656.25,4,D1,01,1
594,554,581,Fixation,521.0,579.0,7,D1,01,1
614,606,544,Fixation,571.8240000000001,549.0,17,D1,01,1
622,609,547,Fixation,610.857,547.0,7,D1,01,1
