x,y,dur
497,205,1776
976,169,144
1123,167,408
1238,310,120
1290,242,240
282,227,168
220,239,144
331,244,288
457,248,192
562,240,240
648,240,192
670,306,96
684,253,144
265,365,624
461,374,192
540,349,216
590,361,168
719,376,192
770,456,96
888,442,120
886,394,120
1073,379,144
1118,354,120
1254,349,336
262,425,456
395,435,384
495,429,168
578,429,336
748,429,216
818,419,360
977,416,312
1179,419,144
1265,416,192
348,461,96
244,481,264
191,486,192
312,497,168
372,488,216
426,487,144
535,478,144
636,481,288
728,485,120
821,495,264
873,487,120
954,492,192
1145,489,96
1153,492,120
1293,488,216
232,541,576
285,544,120
348,554,240
416,556,192
449,645,144
507,581,192
568,556,192
574,541,312
610,544,96
741,556,360
909,559,216
978,553,264
1130,553,192
1282,559,144
241,604,168
270,606,504
423,620,240
486,616,144
588,619,240
642,604,120
720,617,192
827,615,288
1002,617,408
1155,618,216
1327,624,216
302,693,96
237,677,432
300,676,360
419,661,192
499,667,264
542,663,336
578,703,168
581,684,192
546,666,240
587,687,144
633,674,168
717,668,264
830,674,192
898,682,120
992,678,192
1041,679,192
1178,682,240
1213,681,144
1355,683,144
418,713,96
289,720,168
283,737,168
326,732,336
496,733,216
531,732,216
593,727,96
649,718,192
690,714,144
779,724,216
935,726,168
1131,741,240
1286,739,360
1380,738,408
255,785,672
394,793,432
517,793,192
591,778,216
681,788,120
750,791,192
806,780,144
963,805,168
1014,811,120
1065,804,192
1181,803,240
1257,815,120
1330,813,240
268,844,312
360,843,168
441,858,144
544,848,192
598,840,264
741,851,264
832,847,144
929,850,240
1038,851,192
1176,852,168
1219,858,120
1264,891,96
1318,869,144
236,888,168
304,901,168
364,893,192
427,886,192
539,904,288
719,908,384
938,918,312
1075,923,144
1147,916,192
1321,925,240
242,950,528
328,974,216
398,956,168
494,957,312
567,964,360
646,964,144
764,976,288
934,990,288
1046,995,336
960,975,120
1093,990,120
1177,998,120
1242,994,120
1341,991,120
270,1030,120
224,1044,144
363,1036,144
400,1032,144
449,1031,240
215,1120,144
240,1110,336
381,1115,408
485,1128,168
526,1121,192
436,1122,144
366,1129,192
526,1132,336
621,1137,240
686,1136,288
795,1147,192
864,1144,192
1058,1157,216
1245,1153,168
1315,1155,120
248,1165,264
381,1173,168
472,1175,264
565,1169,192
610,1170,168
770,1184,264
830,1190,264
963,1192,360
1061,1190,192
1153,1203,144
1256,1208,120
226,1213,216
302,1226,240
367,1231,168
496,1270,192
635,1245,96
646,1237,288
768,1244,312
850,1262,240
941,1266,192
1039,1270,264
1101,1273,288
1008,1254,192
1195,1275,144
1184,1301,120
1245,1296,120
1315,1351,96
1343,1303,96
221,1291,240
191,1285,192
288,1288,216
344,1294,120
423,1293,216
518,1300,264
575,1309,168
647,1308,264
707,1331,144
811,1357,96
812,1340,96
964,1342,192
1104,1329,168
1071,1321,120
1245,1329,192
325,1342,96
246,1338,432
308,1351,120
368,1354,192
437,1362,192
523,1352,192
408,1353,384
514,1362,480
624,1370,288
716,1376,216
789,1387,192
876,1360,144
920,1359,120
1015,1373,216
1095,1372,168
1137,1387,168
1226,1386,240
1304,1419,192
221,1391,240
289,1394,360
420,1399,288
509,1414,144
629,1417,144
705,1441,96
762,1420,216
840,1429,192
892,1427,96
1040,1439,192
1144,1442,216
1222,1455,168
1297,1450,96
1205,1440,168
1131,1442,288
1197,1439,264
1325,1451,144
329,1440,96
220,1441,504
206,1454,168
299,1464,264
342,1467,336
249,1461,216
217,1451,384
274,1462,336
469,1487,312
617,1484,216
666,1475,168
813,1485,288
951,1486,216
1137,1515,264
1308,1539,144
218,1518,240
274,1530,120
267,1502,96
387,1511,264
521,1515,312
604,1535,192
724,1559,168
748,1583,96
754,1556,312
859,1562,144
975,1569,288
1174,1584,144
1229,1604,168
1282,1594,144
317,1601,96
228,1584,240
167,1584,120
295,1602,96
347,1596,216
435,1610,216
556,1618,240
609,1599,120
750,1613,600
754,1631,96
926,1644,216
976,1649,216
1041,1653,144
1120,1661,216
1187,1666,120
1236,1669,96
1282,1757,96
1354,1686,144
194,1649,168
237,1659,168
280,1668,168
386,1649,144
467,1671,288
609,1663,312
665,1666,216
758,1676,168
809,1669,144
882,1676,240
1017,1705,168
1175,1716,312
1268,1739,312
213,1708,192
162,1742,120
349,1734,312
479,1721,120
520,1737,192
578,1735,144
643,1735,288
722,1756,192
658,1736,168
755,1752,672
844,1751,120
933,1749,768
1026,1761,216
1071,1764,336
1040,1742,192
1101,1777,120
1161,1786,264
1306,1781,312
197,1772,336
269,1782,456
376,1791,360
548,1798,288
702,1818,216
715,1819,96
828,1814,120
791,1778,144
909,1802,192
1030,1820,216
1108,1830,168
1172,1839,96
1286,1853,168
315,1829,96
197,1827,312
170,1835,408
1268,1861,216
1238,1840,216
268,1818,96
192,1845,336
369,1835,312
423,1840,216
463,1845,168
537,1851,408
689,1848,192
735,1862,168
809,1886,144
802,1857,936
1006,1883,264
1119,1904,168
1190,1902,264
1306,1904,168
209,1884,432
173,1878,120
347,1900,120
346,1905,552
332,1929,216
