# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	-9999	-9999	--------	-9999	-9999	1	----	
0:0:14	-9999	-9999	--------	-9999	-9999	2	----	
0:0:15	-9999	-9999	--------	-9999	-9999	3	----	
0:0:16	-9999	-9999	Fixation	-9999	-9999	4	----	
0:0:17	232	245	--------	-9999	-9999	0	----	S2
0:0:18	128	66	--------	-9999	-9999	1	----	S2
0:0:19	158	55	--------	-9999	-9999	2	----	S2
0:0:20	228	165	--------	-9999	-9999	3	----	S2
0:0:21	257	230	--------	-9999	-9999	0	----	S2
0:0:22	-9999	-9999	--------	-9999	-9999	1	----	S2
0:0:23	-9999	-9999	--------	-9999	-9999	2	----	S2
0:1:0	-9999	-9999	--------	-9999	-9999	3	----	S2
0:1:1	294	238	--------	-9999	-9999	0	----	S2
0:1:2	217	140	--------	-9999	-9999	1	----	S2
0:1:3	237	179	--------	-9999	-9999	2	----	S2
0:1:4	348	285	--------	-9999	-9999	3	----	S2
0:1:5	306	203	--------	-9999	-9999	0	----	S2
0:1:6	336	258	--------	-9999	-9999	1	----	S2
0:1:7	338	246	--------	-9999	-9999	2	----	S2
0:1:8	353	255	--------	-9999	-9999	3	----	S2
0:1:9	359	263	Fixation	346.5	255.5	4	----	S2
0:1:10	345	191	--------	-9999	-9999	0	----	S2
0:1:11	373	286	--------	-9999	-9999	1	----	S2
0:1:12	361	205	--------	-9999	-9999	0	----	S2
0:1:13	352	196	--------	-9999	-9999	1	----	S2
0:1:14	376	247	--------	-9999	-9999	2	----	S2
0:1:15	393	257	--------	-9999	-9999	3	----	S2
0:1:16	454	245	--------	-9999	-9999	0	----	S2
0:1:17	441	246	--------	-9999	-9999	1	----	S2
0:1:18	461	276	--------	-9999	-9999	2	----	S2
0:1:19	456	284	--------	-9999	-9999	3	----	S2
0:1:20	441	224	Fixation	449.75	257.5	4	----	S2
0:1:21	449	220	Fixation	449.6	250	5	----	S2
0:1:22	522	256	--------	-9999	-9999	0	----	S2
0:1:23	522	177	--------	-9999	-9999	1	----	S2
0:2:0	544	230	--------	-9999	-9999	2	----	S2
0:2:1	548	257	--------	-9999	-9999	3	----	S2
0:2:2	556	274	--------	-9999	-9999	0	----	S2
0:2:3	532	217	--------	-9999	-9999	1	----	S2
0:2:4	553	226	--------	-9999	-9999	2	----	S2
0:2:5	562	253	--------	-9999	-9999	3	----	S2
0:2:6	544	213	Fixation	547.75	227.25	4	----	S2
0:2:7	574	276	--------	-9999	-9999	0	----	S2
