# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
13	-1	-1	--------	-9999	-9999	2	----	
14	-1	-1	Fixation	-0.5	-0.5	4	----	
15	-1	-1	Fixation	-0.5	-0.5	6	----	
16	-1	-1	Fixation	-0.5	-0.5	8	----	
17	-1	-1	Fixation	-0.5	-0.5	10	----	
18	-1	-1	Fixation	-0.5	-0.5	12	----	
19	-1	-1	Fixation	-0.5	-0.5	14	----	
20	-1	-1	Fixation	-0.5	-0.5	16	----	
21	-1	-1	Fixation	-0.5	-0.5	18	----	
22	-1	-1	Fixation	-0.5	-0.5	20	----	
23	-1	-1	Fixation	-0.5	-0.5	22	----	
24	-1	-1	Fixation	-0.5	-0.5	24	----	
25	-1	-1	Fixation	-0.5	-0.5	26	----	
26	-1	-1	Fixation	-0.5	-0.5	28	----	
27	-1	-1	Fixation	-0.5	-0.5	30	----	
28	-1	-1	Fixation	-0.5	-0.5	32	----	
29	-1	-1	Fixation	-0.5	-0.5	34	----	
30	-1	-1	Fixation	-0.5	-0.5	36	----	
31	-1	-1	Fixation	-0.5	-0.5	38	----	
32	-1	-1	Fixation	-0.5	-0.5	40	----	
33	-1	-1	Fixation	-0.5	-0.5	42	----	
34	-1	-1	Fixation	-0.5	-0.5	44	----	
35	-1	-1	Fixation	-0.5	-0.5	46	----	
36	-1	-1	Fixation	-0.5	-0.5	48	----	
37	-1	-1	Fixation	-0.5	-0.5	50	----	
38	-1	-1	Fixation	-0.5	-0.5	52	----	
39	-1	-1	Fixation	-0.5	-0.5	54	----	
40	-1	-1	Fixation	-0.5	-0.5	56	----	
41	-1	-1	Fixation	-0.5	-0.5	58	----	
42	-1	-1	Fixation	-0.5	-0.5	60	----	
43	-1	-1	Fixation	-0.5	-0.5	62	----	
44	-1	-1	Fixation	-0.5	-0.5	64	----	
45	-1	-1	Fixation	-0.5	-0.5	66	----	
46	-1	-1	Fixation	-0.5	-0.5	68	----	
47	-1	-1	Fixation	-0.5	-0.5	70	----	
48	-1	-1	Fixation	-0.5	-0.5	72	----	
49	-1	-1	Fixation	-0.5	-0.5	74	----	
50	-1	-1	Fixation	-0.5	-0.5	76	----	
51	-1	-1	Fixation	-0.5	-0.5	78	----	
52	-1	-1	Fixation	-0.5	-0.5	80	----	
