fr_index,fr_dist,fr_time,fr_duration,fr_speed,cond,subject,section
1,166.92,52.0,28,3.21,2-column,sub-1,S1
2,110.18,22.0,22,5.01,2-column,sub-1,S1
3,134.31,27.0,29,4.97,2-column,sub-1,S1
4,126.14,35.0,36,3.6,2-column,sub-1,S1
5,22.95,9.0,14,2.55,2-column,sub-1,S1
6,56.17,13.0,19,4.32,2-column,sub-1,S1
7,82.64,16.0,19,5.17,2-column,sub-1,S1
8,130.28,35.0,35,3.72,2-column,sub-1,S1
9,20.19,8.0,12,2.52,2-column,sub-1,S1
10,118.73,38.0,33,3.12,2-column,sub-1,S1
12,38.1,15.0,20,2.54,2-column,sub-1,S1
14,135.89,37.0,42,3.67,2-column,sub-1,S1
15,121.47,18.0,24,6.75,2-column,sub-1,S1
16,117.38,52.0,57,2.26,2-column,sub-1,S1
19,38.81,7.0,20,5.54,2-column,sub-1,S1
20,32.37,16.0,20,2.02,2-column,sub-1,S1
23,24.02,9.0,12,2.67,2-column,sub-1,S1
24,145.07,43.0,60,3.37,2-column,sub-1,S1
25,72.3,45.0,50,1.61,2-column,sub-1,S1
28,32.54,11.0,18,2.96,2-column,sub-1,S1
29,106.72,13.0,16,8.21,2-column,sub-1,S1
31,133.51,54.0,61,2.47,2-column,sub-1,S1
33,145.57,42.0,41,3.47,2-column,sub-1,S1
34,30.15,6.0,21,5.02,2-column,sub-1,S1
37,65.4,24.0,33,2.73,2-column,sub-1,S1
39,102.76,23.0,24,4.47,2-column,sub-1,S1
40,195.58,10.0,13,19.56,2-column,sub-1,S1
41,52.58,19.0,10,2.77,2-column,sub-1,S1
42,64.48,23.0,22,2.8,2-column,sub-1,S1
43,97.64,16.0,20,6.1,2-column,sub-1,S1
44,105.44,14.0,9,7.53,2-column,sub-1,S1
46,82.3,12.0,17,6.86,2-column,sub-1,S1
48,31.31,22.0,17,1.42,2-column,sub-1,-
50,102.56,22.0,22,4.66,2-column,sub-1,-
51,110.84,13.0,11,8.53,2-column,sub-1,-
52,70.71,48.0,28,1.47,2-column,sub-1,-
53,141.63,7.0,10,20.23,2-column,sub-1,-
56,136.29,42.0,45,3.25,2-column,sub-1,-
57,128.32,23.0,32,5.58,2-column,sub-1,-
58,25.02,8.0,24,3.13,2-column,sub-1,-
59,48.3,38.0,34,1.27,2-column,sub-1,-
61,87.85,6.0,21,14.64,2-column,sub-1,-
62,36.48,20.0,16,1.82,2-column,sub-1,-
63,102.15,17.0,25,6.01,2-column,sub-1,-
66,122.76,28.0,31,4.38,2-column,sub-1,-
67,71.32,11.0,21,6.48,2-column,sub-1,-
70,100.29,29.0,32,3.46,2-column,sub-1,-
71,28.71,5.0,12,5.74,2-column,sub-1,-
72,48.37,12.0,14,4.03,2-column,sub-1,-
73,74.88,8.0,15,9.36,2-column,sub-1,S2
74,57.49,26.0,29,2.21,2-column,sub-1,-
76,49.37,27.0,28,1.83,2-column,sub-1,-
77,180.75,28.0,26,6.46,2-column,sub-1,-
78,140.89,25.0,27,5.64,2-column,sub-1,S2
79,161.07,39.0,39,4.13,2-column,sub-1,-
80,146.38,35.0,31,4.18,2-column,sub-1,-
81,121.88,29.0,20,4.2,2-column,sub-1,-
82,50.59,7.0,13,7.23,2-column,sub-1,-
84,144.07,33.0,38,4.37,2-column,sub-1,-
85,131.56,29.0,32,4.54,2-column,sub-1,-
86,119.35,35.0,20,3.41,2-column,sub-1,-
87,123.96,24.0,28,5.17,2-column,sub-1,-
88,124.65,31.0,36,4.02,2-column,sub-1,-
89,120.71,39.0,32,3.1,2-column,sub-1,-
90,118.62,26.0,30,4.56,2-column,sub-1,-
91,61.48,43.0,57,1.43,2-column,sub-1,-
92,60.36,25.0,30,2.41,2-column,sub-1,-
94,67.44,35.0,22,1.93,2-column,sub-1,-
95,51.21,8.0,12,6.4,2-column,sub-1,-
96,38.49,6.0,11,6.42,2-column,sub-1,-
97,101.66,18.0,18,5.65,2-column,sub-1,-
99,78.09,32.0,27,2.44,2-column,sub-1,-
100,51.93,11.0,14,4.72,2-column,sub-1,-
101,97.45,17.0,21,5.73,2-column,sub-1,-
102,87.59,18.0,18,4.87,2-column,sub-1,-
103,117.94,36.0,37,3.28,2-column,sub-1,S2
104,128.01,30.0,31,4.27,2-column,sub-1,-
105,47.95,13.0,16,3.69,2-column,sub-1,-
106,83.36,8.0,13,10.42,2-column,sub-1,-
109,117.99,23.0,27,5.13,2-column,sub-1,-
110,54.24,19.0,26,2.85,2-column,sub-1,-
111,76.96,6.0,16,12.83,2-column,sub-1,-
112,67.41,20.0,29,3.37,2-column,sub-1,-
113,55.03,10.0,25,5.5,2-column,sub-1,-
115,200.31,30.0,24,6.68,2-column,sub-1,-
116,63.57,15.0,22,4.24,2-column,sub-1,-
118,88.25,7.0,12,12.61,2-column,sub-1,-
119,134.07,28.0,29,4.79,2-column,sub-1,-
120,80.21,28.0,28,2.86,2-column,sub-1,-
122,122.79,25.0,29,4.91,2-column,sub-1,-
123,96.65,6.0,15,16.11,2-column,sub-1,-
124,136.04,37.0,41,3.68,2-column,sub-1,-
125,41.02,7.0,12,5.86,2-column,sub-1,-
126,44.64,9.0,14,4.96,2-column,sub-1,-
127,112.3,19.0,28,5.91,2-column,sub-1,-
128,125.11,47.0,53,2.66,2-column,sub-1,-
129,51.03,17.0,21,3.0,2-column,sub-1,-
