fr_index,fr_dist,fr_time,fr_speed,cond,subject,section
1,1303.13,28,2.91,2-column,sub-1,S1
2,848.18,22,2.41,2-column,sub-1,S1
3,1041.76,29,2.25,2-column,sub-1,S1
4,981.23,36,1.7,2-column,sub-1,S1
5,177.3,14,0.79,2-column,sub-1,S1
6,440.35,19,1.45,2-column,sub-1,S1
7,646.61,19,2.13,2-column,sub-1,S1
8,1019.42,35,1.82,2-column,sub-1,S1
9,158.73,12,0.83,2-column,sub-1,S1
10,927.52,33,1.76,2-column,sub-1,S1
11,57.75,5,0.72,2-column,sub-1,S1
12,298.28,20,0.93,2-column,sub-1,S1
13,509.71,12,2.65,2-column,sub-1,S1
14,1065.8,42,1.59,2-column,sub-1,S1
15,952.8,24,2.48,2-column,sub-1,S1
16,919.77,57,1.01,2-column,sub-1,S1
17,54.47,11,0.31,2-column,sub-1,S1
18,126.92,5,1.59,2-column,sub-1,S1
19,303.11,20,0.95,2-column,sub-1,S1
20,253.77,20,0.79,2-column,sub-1,S1
21,676.84,15,2.82,2-column,sub-1,S1
22,266.67,8,2.08,2-column,sub-1,S1
23,187.27,12,0.98,2-column,sub-1,S1
24,1136.31,60,1.18,2-column,sub-1,S1
25,568.13,50,0.71,2-column,sub-1,S1
26,559.98,8,4.37,2-column,sub-1,S1
27,60.27,7,0.54,2-column,sub-1,S1
28,254.8,18,0.88,2-column,sub-1,S1
29,836.05,16,3.27,2-column,sub-1,S1
30,109.29,5,1.37,2-column,sub-1,S1
31,1046.53,61,1.07,2-column,sub-1,S1
32,130.23,9,0.9,2-column,sub-1,S1
33,1127.48,41,1.72,2-column,sub-1,S0
34,235.15,21,0.7,2-column,sub-1,S1
35,79.06,4,1.24,2-column,sub-1,S1
36,170.5,8,1.33,2-column,sub-1,S1
37,511.31,33,0.97,2-column,sub-1,S1
38,450.06,7,4.02,2-column,sub-1,S1
39,807.72,24,2.1,2-column,sub-1,S1
40,1429.86,13,6.87,2-column,sub-1,S0
41,412.19,10,2.58,2-column,sub-1,S1
42,504.01,22,1.43,2-column,sub-1,S1
43,761.9,20,2.38,2-column,sub-1,S1
44,820.0,9,5.69,2-column,sub-1,S1
45,152.28,7,1.36,2-column,sub-1,S1
46,646.8,17,2.38,2-column,sub-1,S1
47,450.12,5,5.63,2-column,sub-1,S2
48,243.35,17,0.89,2-column,sub-1,S2
49,724.01,6,7.54,2-column,sub-1,S2
50,797.22,22,2.26,2-column,sub-1,S2
51,858.99,11,4.88,2-column,sub-1,S2
52,555.94,28,1.24,2-column,sub-1,S2
53,1020.91,10,6.38,2-column,sub-1,S2
54,77.07,9,0.54,2-column,sub-1,S2
55,85.5,4,1.34,2-column,sub-1,S2
56,1065.22,45,1.48,2-column,sub-1,S2
57,1007.38,32,1.97,2-column,sub-1,S2
58,194.83,24,0.51,2-column,sub-1,S2
59,379.14,34,0.7,2-column,sub-1,S2
60,60.23,7,0.54,2-column,sub-1,S2
61,686.57,21,2.04,2-column,sub-1,S2
62,285.46,16,1.12,2-column,sub-1,S2
63,800.39,25,2.0,2-column,sub-1,S2
64,44.95,4,0.7,2-column,sub-1,S2
65,93.02,7,0.83,2-column,sub-1,S2
66,960.23,31,1.94,2-column,sub-1,S2
67,559.56,21,1.67,2-column,sub-1,S2
68,99.69,5,1.25,2-column,sub-1,S2
69,574.32,6,5.98,2-column,sub-1,S2
70,786.05,32,1.54,2-column,sub-1,S2
71,223.84,12,1.17,2-column,sub-1,S2
72,374.81,14,1.67,2-column,sub-1,S2
73,587.31,15,2.45,2-column,sub-1,S2
74,452.24,29,0.97,2-column,sub-1,S2
75,476.99,11,2.71,2-column,sub-1,S2
76,385.76,28,0.86,2-column,sub-1,S2
77,1337.74,26,3.22,2-column,sub-1,S2
78,1100.96,27,2.55,2-column,sub-1,S2
79,1262.21,39,2.02,2-column,sub-1,S2
80,1144.13,31,2.31,2-column,sub-1,S2
81,946.23,20,2.96,2-column,sub-1,S2
82,394.04,13,1.89,2-column,sub-1,S2
83,185.06,9,1.29,2-column,sub-1,S2
84,1130.88,38,1.86,2-column,sub-1,S2
85,1031.23,32,2.01,2-column,sub-1,S2
86,913.78,20,2.86,2-column,sub-1,S2
87,972.8,28,2.17,2-column,sub-1,S2
88,978.78,36,1.7,2-column,sub-1,S2
89,945.95,32,1.85,2-column,sub-1,S2
90,931.75,30,1.94,2-column,sub-1,S2
91,483.83,57,0.53,2-column,sub-1,S2
92,474.92,30,0.99,2-column,sub-1,S2
93,475.1,8,3.71,2-column,sub-1,S2
94,528.75,22,1.5,2-column,sub-1,S2
95,396.18,12,2.06,2-column,sub-1,S2
96,300.59,11,1.71,2-column,sub-1,S2
97,795.51,18,2.76,2-column,sub-1,S2
98,103.49,10,0.65,2-column,sub-1,S2
99,611.66,27,1.42,2-column,sub-1,S2
100,396.43,14,1.77,2-column,sub-1,S2
