time,fix_index,x,y,fix_dur,doc,subject,cond,section,roi,dist,speed
6,10,42.86,110.14,5,image-09,sub-1,2-column,S1,Introduction,14.15,2.36
5,20,24.84,118.13,4,image-09,sub-1,2-column,S1,Introduction,6.25,1.25
5,24,55.64,109.55,4,image-09,sub-1,2-column,S1,Abstract,10.83,2.17
9,31,20.88,119.31,8,image-09,sub-1,2-column,S1,Introduction,6.42,0.71
10,32,35.52,114.67,9,image-09,sub-1,2-column,S1,Introduction,15.36,1.54
9,39,36.48,115.42,8,image-09,sub-1,2-column,S1,Introduction,16.45,1.83
9,42,54.83,109.29,8,image-09,sub-1,2-column,S1,Introduction,16.52,1.84
9,47,43.48,120.71,8,image-09,sub-1,2-column,S1,Introduction,19.72,2.19
6,49,52.57,122.08,5,image-09,sub-1,2-column,S1,Introduction,15.81,2.64
6,53,61.34,121.41,5,image-09,sub-1,2-column,S1,Introduction,8.4,1.4
7,56,32.76,134.89,6,image-09,sub-1,2-column,S1,Introduction,14.18,2.03
10,63,20.78,159.01,9,image-09,sub-1,2-column,S1,Introduction,6.99,0.7
8,64,39.24,154.58,7,image-09,sub-1,2-column,S1,Introduction,18.98,2.37
6,68,24.32,163.76,5,image-09,sub-1,2-column,S1,Introduction,6.89,1.15
6,77,61.59,115.16,5,image-09,sub-1,2-column,S1,Introduction,19.63,3.27
5,86,133.01,88.9,4,image-09,sub-1,2-column,S1,Introduction,15.22,3.04
13,91,48.31,118.97,12,image-09,sub-1,2-column,S1,Introduction,17.32,1.33
12,92,54.94,119.22,11,image-09,sub-1,2-column,S1,Introduction,6.63,0.55
5,95,64.66,121.53,4,image-09,sub-1,2-column,S1,Introduction,16.16,3.23
12,101,48.5,137.28,11,image-09,sub-1,2-column,S1,Introduction,8.63,0.72
9,102,64.79,131.28,8,image-09,sub-1,2-column,S1,Introduction,17.36,1.93
10,108,123.44,124.07,9,image-09,sub-1,2-column,S1,Introduction,5.81,0.58
7,110,73.45,140.61,6,image-09,sub-1,2-column,S1,Introduction,19.05,2.72
7,112,78.89,137.35,6,image-09,sub-1,2-column,S1,Introduction,13.84,1.98
12,119,72.13,150.55,11,image-09,sub-1,2-column,S1,Introduction,19.23,1.6
12,121,61.57,150.93,9,image-09,sub-1,2-column,S1,Introduction,4.17,0.35
7,128,53.76,160.63,6,image-09,sub-1,2-column,S1,Introduction,7.87,1.12
6,129,72.24,155.57,5,image-09,sub-1,2-column,S1,Introduction,19.16,3.19
11,143,107.58,188.19,6,image-09,sub-1,2-column,S1,Introduction,16.8,1.53
8,146,74.85,213.75,7,image-09,sub-1,2-column,S1,Introduction,7.8,0.97
8,147,93.94,211.57,7,image-09,sub-1,2-column,S1,Introduction,19.21,2.4
7,149,72.88,210.66,6,image-09,sub-1,2-column,S1,Introduction,1.71,0.24
10,161,98.22,226.94,9,image-09,sub-1,2-column,S1,Introduction,19.55,1.96
17,168,85.78,221.51,16,image-09,sub-1,2-column,S1,Introduction,7.64,0.45
6,169,94.65,217.33,5,image-09,sub-1,2-column,S1,Introduction,9.81,1.64
7,183,132.74,218.46,6,image-09,sub-1,2-column,S1,Introduction,15.59,2.23
8,186,92.61,226.68,7,image-09,sub-1,2-column,S1,Introduction,13.33,1.67
9,189,31.05,114.38,8,image-10,sub-1,2-column,-,-,7.3,0.81
10,196,34.28,223.69,5,image-10,sub-1,2-column,-,-,17.21,1.72
5,201,43.13,178.77,4,image-10,sub-1,2-column,-,-,8.97,1.79
5,202,47.58,168.98,4,image-10,sub-1,2-column,-,-,10.75,2.15
8,210,77.82,177.15,7,image-10,sub-1,2-column,-,-,19.48,2.44
15,215,108.55,43.01,14,image-10,sub-1,2-column,-,-,11.61,0.77
18,217,104.43,46.65,15,image-10,sub-1,2-column,S2,Body,5.91,0.33
10,223,98.36,88.39,5,image-10,sub-1,2-column,-,-,13.14,1.31
8,228,91.32,97.04,7,image-10,sub-1,2-column,-,-,10.77,1.35
7,237,131.26,80.86,6,image-10,sub-1,2-column,-,-,16.26,2.32
10,239,113.26,89.71,9,image-10,sub-1,2-column,-,-,12.59,1.26
11,240,124.74,89.11,10,image-10,sub-1,2-column,-,-,11.5,1.05
5,243,58.31,110.28,4,image-10,sub-1,2-column,-,-,5.07,1.01
15,244,58.92,98.9,4,image-10,sub-1,2-column,-,-,11.4,0.76
17,248,99.85,102.97,16,image-10,sub-1,2-column,-,-,10.81,0.64
8,252,70.8,110.21,7,image-10,sub-1,2-column,-,-,15.3,1.91
7,254,81.18,108.77,6,image-10,sub-1,2-column,-,-,16.19,2.31
6,256,85.73,109.69,5,image-10,sub-1,2-column,-,-,16.18,2.7
11,261,72.64,116.3,10,image-10,sub-1,2-column,-,-,16.55,1.5
19,265,132.61,104.59,18,image-10,sub-1,2-column,-,-,7.1,0.37
17,267,132.23,104.88,16,image-10,sub-1,2-column,-,-,12.28,0.72
8,269,79.75,119.49,7,image-10,sub-1,2-column,-,-,18.94,2.37
7,274,59.33,129.66,6,image-10,sub-1,2-column,-,-,14.34,2.05
7,278,124.63,126.19,6,image-10,sub-1,2-column,-,-,15.83,2.26
15,281,114.16,136.67,14,image-10,sub-1,2-column,-,-,16.65,1.11
7,284,64.92,151.62,6,image-10,sub-1,2-column,S2,Body,7.86,1.12
8,285,81.56,149.01,7,image-10,sub-1,2-column,-,-,16.84,2.1
14,291,124.16,151.67,13,image-10,sub-1,2-column,-,-,9.24,0.66
9,293,82.61,160.27,8,image-10,sub-1,2-column,-,-,18.48,2.05
6,298,136.9,146.68,5,image-10,sub-1,2-column,-,-,9.05,1.51
13,308,144.83,81.23,12,image-10,sub-1,2-column,S2,Formula,19.22,1.48
6,315,142.13,95.83,5,image-10,sub-1,2-column,-,-,13.52,2.25
18,320,135.9,112.79,17,image-10,sub-1,2-column,-,-,7.68,0.43
6,324,136.62,105.05,5,image-10,sub-1,2-column,-,-,12.91,2.15
7,327,164.6,92.59,6,image-10,sub-1,2-column,-,-,19.91,2.84
11,329,150.95,104.55,10,image-10,sub-1,2-column,-,-,9.1,0.83
10,335,154.99,109.49,9,image-10,sub-1,2-column,-,-,15.79,1.58
8,340,166.04,117.76,7,image-10,sub-1,2-column,-,-,16.39,2.05
7,344,136.76,177.03,6,image-10,sub-1,2-column,-,-,9.62,1.37
18,350,154.31,188.36,17,image-10,sub-1,2-column,-,-,16.28,0.9
5,356,148.58,200.5,4,image-10,sub-1,2-column,-,-,9.31,1.86
9,362,155.04,203.33,8,image-10,sub-1,2-column,-,-,13.21,1.47
7,367,143.85,212.42,6,image-10,sub-1,2-column,-,-,2.19,0.31
6,368,153.06,209.55,5,image-10,sub-1,2-column,-,-,9.65,1.61
11,375,156.11,216.69,10,image-10,sub-1,2-column,-,-,11.81,1.07
7,380,198.65,219.29,6,image-10,sub-1,2-column,-,-,11.12,1.59
5,382,152.42,228.93,4,image-10,sub-1,2-column,-,-,13.4,2.68
10,393,57.36,143.5,6,image-11,sub-1,2-column,-,-,7.45,0.74
5,403,102.24,170.92,4,image-11,sub-1,2-column,-,-,18.15,3.63
16,410,65.0,186.25,15,image-11,sub-1,2-column,-,-,19.14,1.2
6,418,76.48,217.77,5,image-11,sub-1,2-column,-,-,19.4,3.23
7,427,76.48,222.58,6,image-11,sub-1,2-column,S2,Formula,16.65,2.38
5,432,53.48,231.12,4,image-11,sub-1,2-column,-,-,7.02,1.4
7,433,71.57,225.89,6,image-11,sub-1,2-column,-,-,18.83,2.69
6,440,74.17,222.88,5,image-11,sub-1,2-column,-,-,14.57,2.43
6,442,79.81,223.52,5,image-11,sub-1,2-column,-,-,15.84,2.64
7,449,83.15,233.48,6,image-11,sub-1,2-column,-,-,17.4,2.49
6,453,124.02,225.66,5,image-11,sub-1,2-column,-,-,18.18,3.03
7,456,62.04,242.57,6,image-11,sub-1,2-column,-,-,12.13,1.73
7,461,116.22,233.22,6,image-11,sub-1,2-column,-,-,15.17,2.17
6,466,89.74,254.85,5,image-11,sub-1,2-column,-,-,15.92,2.65
7,470,120.08,228.89,6,image-11,sub-1,2-column,-,-,8.78,1.25
6,474,146.81,215.86,5,image-11,sub-1,2-column,-,-,16.19,2.7
16,475,161.61,214.84,15,image-11,sub-1,2-column,-,-,14.84,0.93
17,480,121.28,226.9,8,image-11,sub-1,2-column,-,-,14.83,0.87
9,492,119.1,238.93,8,image-11,sub-1,2-column,-,-,13.52,1.5
6,500,107.58,254.73,5,image-11,sub-1,2-column,-,-,1.25,0.21
9,501,119.23,251.7,8,image-11,sub-1,2-column,-,-,12.04,1.34
14,507,102.07,258.69,13,image-11,sub-1,2-column,-,-,10.77,0.77
9,511,116.43,213.97,8,image-11,sub-1,2-column,-,-,8.32,0.92
11,512,131.78,213.62,6,image-11,sub-1,2-column,-,-,15.35,1.4
9,515,151.34,209.72,8,image-11,sub-1,2-column,-,-,19.88,2.21
8,520,124.91,211.88,5,image-11,sub-1,2-column,-,-,19.51,2.44
5,526,105.0,219.11,4,image-11,sub-1,2-column,-,-,7.35,1.47
6,545,184.72,225.05,5,image-11,sub-1,2-column,-,-,14.06,2.34
16,564,125.62,274.54,13,image-11,sub-1,2-column,-,-,17.96,1.12
9,575,140.76,205.85,4,image-11,sub-1,2-column,-,-,12.14,1.35
18,579,119.23,162.04,11,image-11,sub-1,2-column,-,-,2.8,0.16
9,582,118.88,158.91,8,image-11,sub-1,2-column,-,-,11.26,1.25
12,585,135.5,130.6,5,image-11,sub-1,2-column,-,-,9.31,0.78
12,588,154.66,137.52,11,image-11,sub-1,2-column,-,-,18.79,1.57
7,592,183.17,127.3,6,image-11,sub-1,2-column,-,-,14.74,2.11
7,594,136.55,140.35,6,image-11,sub-1,2-column,-,-,16.9,2.41
7,3,22.14,119.31,4,image-09,sub-2,2-column,S1,Introduction,6.59,0.94
5,4,33.33,115.01,6,image-09,sub-2,2-column,S1,Introduction,11.99,2.4
8,6,31.68,77.73,5,image-09,sub-2,2-column,S1,Introduction,9.7,1.21
5,13,73.2,105.55,6,image-09,sub-2,2-column,S1,Introduction,7.42,1.48
10,15,15.91,109.12,9,image-09,sub-2,2-column,S1,Introduction,14.0,1.4
10,16,24.1,110.08,9,image-09,sub-2,2-column,S1,Introduction,8.25,0.82
4,22,85.12,102.02,4,image-09,sub-2,2-column,S1,Introduction,15.76,3.94
8,27,25.68,127.07,7,image-09,sub-2,2-column,S1,Introduction,15.23,1.9
18,30,46.3,125.78,7,image-09,sub-2,2-column,S1,Introduction,17.24,0.96
12,36,72.78,134.17,11,image-09,sub-2,2-column,S1,Introduction,10.0,0.83
7,40,29.9,128.14,6,image-09,sub-2,2-column,S1,Introduction,10.18,1.45
14,41,39.26,128.84,13,image-09,sub-2,2-column,S1,Introduction,9.39,0.67
16,45,71.9,129.31,15,image-09,sub-2,2-column,S1,Introduction,13.67,0.85
11,49,31.62,126.78,10,image-09,sub-2,2-column,S1,Introduction,11.66,1.06
5,50,41.54,126.49,4,image-09,sub-2,2-column,S1,Abstract,9.92,1.98
8,52,42.11,127.44,7,image-09,sub-2,2-column,S1,Introduction,9.96,1.25
7,58,93.44,137.69,6,image-09,sub-2,2-column,S1,Introduction,8.9,1.27
11,60,32.85,136.79,10,image-09,sub-2,2-column,S1,Introduction,9.86,0.9
7,61,48.15,138.46,6,image-09,sub-2,2-column,S1,Introduction,15.39,2.2
15,64,55.4,147.37,14,image-09,sub-2,2-column,S1,Introduction,9.13,0.61
9,68,86.98,170.58,8,image-09,sub-2,2-column,S1,Introduction,12.35,1.37
12,71,44.15,175.38,11,image-09,sub-2,2-column,S1,Introduction,9.71,0.81
8,81,35.83,174.93,7,image-09,sub-2,2-column,S1,Introduction,11.48,1.44
17,82,45.09,171.72,16,image-09,sub-2,2-column,S1,Introduction,9.8,0.58
5,89,99.16,178.49,4,image-09,sub-2,2-column,S1,Introduction,14.55,2.91
11,91,33.91,177.31,10,image-09,sub-2,2-column,S1,Introduction,13.64,1.24
8,92,43.92,175.13,7,image-09,sub-2,2-column,S1,Introduction,10.24,1.28
7,100,114.93,148.13,6,image-09,sub-2,2-column,S1,Introduction,14.59,2.08
