time,fix_index,x,y,fix_dur,doc,subject,cond,section,roi,dist,speed
25,6,63.9,110.16,8,image-09,sub-1,2-column,S1,Introduction,101.8,4.07
6,15,48.5,108.47,5,image-09,sub-1,2-column,S1,Introduction,20.04,3.34
7,21,44.27,110.96,6,image-09,sub-1,2-column,S1,Introduction,20.71,2.96
6,28,91.93,95.14,5,image-09,sub-1,2-column,S1,Introduction,33.67,5.61
9,54,81.45,119.34,8,image-09,sub-1,2-column,S1,Introduction,20.22,2.25
10,69,45.4,157.95,9,image-09,sub-1,2-column,S1,Introduction,21.87,2.19
10,75,50.01,122.7,9,image-09,sub-1,2-column,S1,Introduction,22.41,2.24
12,79,75.87,94.25,11,image-09,sub-1,2-column,S1,Introduction,29.77,2.48
10,82,103.06,92.17,5,image-09,sub-1,2-column,S1,Introduction,32.22,3.22
10,88,119.76,96.69,9,image-09,sub-1,2-column,S1,Introduction,71.74,7.17
5,90,64.63,113.16,4,image-09,sub-1,2-column,S1,Introduction,23.42,4.68
8,115,103.43,136.69,7,image-09,sub-1,2-column,S1,Introduction,25.67,3.21
16,131,80.24,163.08,15,image-09,sub-1,2-column,S1,Introduction,22.08,1.38
9,139,99.49,174.92,8,image-09,sub-1,2-column,S1,Introduction,23.12,2.57
14,142,90.81,189.25,5,image-09,sub-1,2-column,S1,Introduction,20.66,1.48
8,145,79.64,207.6,7,image-09,sub-1,2-column,S1,Introduction,24.94,3.12
7,154,135.77,214.99,6,image-09,sub-1,2-column,S1,Introduction,20.76,2.97
7,156,101.44,220.19,6,image-09,sub-1,2-column,S1,Introduction,22.56,3.22
9,164,161.84,52.26,8,image-09,sub-1,2-column,S1,Introduction,41.16,4.57
12,167,92.29,225.51,7,image-09,sub-1,2-column,S1,Introduction,187.97,15.66
5,174,140.44,217.44,4,image-09,sub-1,2-column,S1,Introduction,22.16,4.43
8,178,182.47,236.94,7,image-09,sub-1,2-column,S1,Introduction,31.29,3.91
7,181,136.25,215.94,6,image-09,sub-1,2-column,S1,Introduction,30.24,4.32
7,188,24.54,117.68,6,image-10,sub-1,2-column,-,-,70.48,10.07
25,193,44.94,136.06,8,image-10,sub-1,2-column,-,-,32.24,1.29
10,194,67.81,137.54,9,image-10,sub-1,2-column,-,-,22.92,2.29
7,205,28.61,165.3,6,image-10,sub-1,2-column,-,-,24.78,3.54
8,213,105.99,38.22,7,image-10,sub-1,2-column,-,-,27.33,3.42
11,231,111.85,89.18,10,image-10,sub-1,2-column,-,-,23.56,2.14
8,275,95.37,122.62,7,image-10,sub-1,2-column,-,-,36.72,4.59
8,303,161.75,57.46,6,image-10,sub-1,2-column,-,-,22.33,2.79
11,345,157.38,169.33,10,image-10,sub-1,2-column,-,-,22.01,2.0
15,374,144.31,216.15,10,image-10,sub-1,2-column,-,-,55.05,3.67
39,387,158.51,230.65,6,image-11,sub-1,2-column,-,-,32.91,0.84
25,388,88.77,197.68,11,image-11,sub-1,2-column,-,-,77.14,3.09
15,389,70.03,97.47,10,image-11,sub-1,2-column,-,-,101.95,6.8
12,390,87.22,118.14,7,image-11,sub-1,2-column,-,-,26.88,2.24
5,394,84.3,147.57,5,image-11,sub-1,2-column,-,-,27.25,5.45
9,397,101.44,149.22,6,image-11,sub-1,2-column,-,-,31.28,3.48
9,401,85.37,152.39,4,image-11,sub-1,2-column,-,-,29.94,3.33
11,409,45.96,188.21,10,image-11,sub-1,2-column,-,-,67.86,6.17
5,414,98.11,208.41,4,image-11,sub-1,2-column,-,-,21.07,4.21
6,422,82.09,217.99,5,image-11,sub-1,2-column,-,-,20.35,3.39
10,437,121.88,215.12,9,image-11,sub-1,2-column,-,-,20.07,2.01
7,444,96.28,225.26,6,image-11,sub-1,2-column,-,-,26.62,3.8
9,457,85.5,236.43,8,image-11,sub-1,2-column,-,-,24.25,2.69
10,464,131.87,236.06,9,image-11,sub-1,2-column,-,-,49.05,4.9
18,477,162.69,212.08,13,image-11,sub-1,2-column,-,-,30.44,1.69
6,485,124.91,234.52,5,image-11,sub-1,2-column,-,-,20.83,3.47
9,490,182.8,224.99,8,image-11,sub-1,2-column,-,-,23.02,2.56
7,497,156.39,242.13,6,image-11,sub-1,2-column,-,-,46.86,6.69
17,508,116.53,237.59,8,image-11,sub-1,2-column,-,-,25.58,1.5
9,527,133.19,216.38,8,image-11,sub-1,2-column,-,-,28.32,3.15
7,531,187.05,211.35,6,image-11,sub-1,2-column,-,-,22.87,3.27
